周边交通,商业用房平均价,开盘时间,容积率,座落,车位,设备装修,绿化率,楼盘简介,总幢数,开发商,住宅平均价,土地等级,项目名称,入住时间,联系电话,配套设施
,,1990-01-01 00:00:00.0,,新城子区虎石台兴胜街西侧,,,,,,沈阳汇友实业发展有限公司,居住,,,,,
,5000.0,2006-03-30 00:00:00.0,,于洪区白山路,,,,,3500.0,沈阳市大禹房屋开发有限公司,居住组团,0,12,2006-12-31 00:00:00.0,86782888,
,,2006-03-31 00:00:00.0,,大东区50中学西侧,,,,,3400.0,辽宁正邦房地产有限公司,居住（沈大公寓）,0,1,2007-07-31 00:00:00.0,81690888 13898858521,
,5000.0,2006-04-01 00:00:00.0,,铁西区南九中路70号,,,,,3100.0,沈阳圣菲亚房地产开发有限公司,圣华庭小区,0,4,2007-12-31 00:00:00.0,62488899 82866355,
,,2006-04-01 00:00:00.0,,东陵区东陵西路46号,,,,,2850.0,沈阳弘景房屋开发有限公司,居住.公建,,17,2006-09-30 00:00:00.0,88435555，88437777,
,,2006-04-02 00:00:00.0,,于洪区黑山路,,,,,3150.0,辽宁恒泰房屋开发有限公司,居住小区一期工程,,49,2007-10-30 00:00:00.0,86523666,
,5000.0,2006-04-10 00:00:00.0,,于洪区龙首山路南,,,,,3000.0,沈阳北陵房产开发有限公司,居住组团二期,,5,2006-08-31 00:00:00.0,86177777,
,,2006-04-10 00:00:00.0,,东陵区白塔镇塔南村,,,,,2280.0,沈阳龙彪房地产开发有限公司,住宅,,6,2006-10-31 00:00:00.0,24505788,
,4400.0,2006-04-12 00:00:00.0,,铁西区兴工北街64号,,,,,3500.0,辽宁中海房地产开发有限公司,中海.国际公寓,,4,2006-12-30 00:00:00.0,22958972,
,5000.0,1990-01-01 00:00:00.0,,于洪区川江街东侧,,,,,3300.0,沈阳英特纳房产开发有限公司,精博苑,,1,2006-11-30 00:00:00.0,22512345,
,4500.0,2006-04-15 00:00:00.0,,于洪区长江北街,,,,,2980.0,沈阳加华房地产投资发展有限公司,加华小镇,,18,2006-12-30 00:00:00.0,"86128777,86126099",
,,2006-04-17 00:00:00.0,,于洪区黄河北大街,,,,,2900.0,辽宁东川房地产开发有限公司,居住组团,,6,2008-10-01 00:00:00.0,86535555,
,,1990-01-01 00:00:00.0,,和平区十三纬路北侧,,,,,4400.0,辽宁北信房地产开发有限公司,公建、住宅,,1,2007-04-30 00:00:00.0,23211122,
,5000.0,1990-01-01 00:00:00.0,,铁西区北四东路44号,,,,,3100.0,辽宁富元房地产开发有限公司,御览茗居,,4,2007-05-31 00:00:00.0,62489333,
,4500.0,2006-04-18 00:00:00.0,,大东区南卡门东路北侧,,,,,2800.0,辽宁华诚房地产开发有限公司,居住、商业二期（华诚、阳光住宅小区）,0,6,2006-04-30 00:00:00.0,88315666 13940490788,
,5000.0,1990-01-01 00:00:00.0,,皇姑区大渡河街西岐山中路南(部分用地),,,,,3900.0,沈阳德信房地产开发有限公司,居住,,2,2006-10-30 00:00:00.0,86845577,
,4500.0,2005-11-24 00:00:00.0,,东陵区文富北路北侧,,,,,3800.0,沈阳市东陵区土地房屋开发公司,居住.商业,,1,2005-12-24 00:00:00.0,24500688,
,4000.0,2005-11-24 00:00:00.0,,于洪区杨士街道汪家地区,,,,,2600.0,沈阳永来房地产有限公司,秋实园,,11,2007-12-31 00:00:00.0,23301188,
,3200.0,1990-01-01 00:00:00.0,,新城子区虎石台镇兴明街东,,,,,1500.0,沈阳诚发展房地产开发有限公司,富城.时代,,16,2007-12-31 00:00:00.0,89715555,
,10000.0,2005-11-25 00:00:00.0,,东陵区文萃路北侧,,,,,4000.0,沈阳赛维莱房产开发有限公司,锦绣江南,,14,2006-12-30 00:00:00.0,24522222,
,10000.0,2005-11-25 00:00:00.0,,皇姑区长江街134号,,,,,4700.0,辽宁高校后勤集团房地产开发有限公司,建赏欧洲,,21,2007-06-30 00:00:00.0,86858333,
,6900.0,2005-11-25 00:00:00.0,,皇姑区昆山中路47号,,,,,3800.0,沈阳利鑫房地产开发有限公司,居住.商业,,2,2006-10-31 00:00:00.0,86261111、86247666,
,3500.0,2005-11-30 00:00:00.0,,新城子区正义四路南侧,,,,,2300.0,辽宁示范房产开发有限公司,大学新城,,18,2006-07-30 00:00:00.0,,
,,2005-12-01 00:00:00.0,,于洪区杨士街道汪家地区,,,,,3500.0,阳光一百置业（辽宁）有限公司,阳光100国际新城,,13,2008-08-15 00:00:00.0,25255555,
,,2005-12-08 00:00:00.0,,浑南产业区西区16-19号地块,,,,,,沈阳东宇房产开发有限公司,亚泰花园,,10,2006-06-30 00:00:00.0,23788588,
,6000.0,2005-12-10 00:00:00.0,,大东区东北大马路169号,,,,,3000.0,沈阳千缘房地产投资集团有限公司,千缘大众家园居住小区三期工程,,4,2005-12-31 00:00:00.0,88905858,
,4500.0,2005-12-17 00:00:00.0,,于洪区,,,,,2280.0,沈阳佳润房屋开发有限公司,明地家园,,8,2006-05-30 00:00:00.0,25440677,
,,1990-01-01 00:00:00.0,,沈阳市大东区东逸街,,,,,,沈阳市城建房地产开发集团有限公司,东逸花园（二期）,,,,,
,3500.0,1990-01-01 00:00:00.0,,沈阳市铁西区沈辽路22甲,,,,,2700.0,沈阳铁富房地产开发有限公司,金盛家园二期,,10,2006-09-30 00:00:00.0,25281133,
,7000.0,2005-12-30 00:00:00.0,,铁西区勋业五路9号,,,,,,沈阳东北金城房地产开发有限公司,沈阳西部汽配维修综合市场二期,,1,2006-01-01 00:00:00.0,31040996,
,7500.0,1990-01-01 00:00:00.0,,皇姑区崇山中路77号,,,,,4550.0,沈阳中怡房地产开发有限公司,居住.公建,,1,2006-10-31 00:00:00.0,86214699,
,3300.0,2006-01-18 00:00:00.0,,于洪区和平村,,,,,2500.0,辽宁昊岳房地产开发有限公司,和信家园,,5,2006-02-16 00:00:00.0,86010099,
,5000.0,2006-01-19 00:00:00.0,,铁西区齐贤北街12号,,,,,3000.0,王氏置业(沈阳)有限公司,易居园小区,0,7,2006-10-30 00:00:00.0,25115555,
,2500.0,2006-01-30 00:00:00.0,,苏家屯区陈相镇塔山路北,,,,,1200.0,沈阳中鼎房地产开发有限公司,住宅.网点,,1,2006-04-30 00:00:00.0,89573808,
,4000.0,2006-02-06 00:00:00.0,,皇姑区天山路南,,,,,3000.0,沈阳祥和房屋开发有限公司,华山棚户区改造,,1,2006-02-16 00:00:00.0,86240977,
,,2006-02-14 00:00:00.0,,铁西区北四中路19号,,,,,,辽宁宏伟金都房地产开发有限公司,宏伟金都三期,0,12,2006-12-31 00:00:00.0,25656666/25659999/25613333,
,7000.0,2006-02-15 00:00:00.0,,和平区长白地区1#地块,,,,,5800.0,沈阳万科永达房地产开发有限公司,万科城一期一区,0,20,2007-06-30 00:00:00.0,88613355,
,,2006-02-15 00:00:00.0,,沈阳农业高新区,,,,,,辽宁秦泰制衣有限公司,食堂宿舍、厂房及办公楼、库房,0,3,,,
,,2006-02-21 10:34:56.0,,沈河区青年大街苗圃,,,,,,自建自用房,沈阳科学宫,0,2,,23978056/13998280401,
,,2006-02-21 15:24:41.0,,铁西区建设东路29号,,,,,,自建自用房,美居世家家居商厦（一期）,0,1,,13504020400,
,7600.0,1990-01-01 00:00:00.0,,和平区中华路南12号,,,,,,沈阳金域房地产开发有限公司,商业(曼哈顿广场),,2,2006-12-31 00:00:00.0,23237333,
,,2006-02-27 13:20:05.0,,新城子福州路南、金星街东,,,,,,沈阳福卿房地产开发有限公司,综合门市房、住宅楼,0,3,2008-07-31 00:00:00.0,13889212649,
,2800.0,1990-01-01 00:00:00.0,,苏家屯区金宝台村,,,,,2300.0,沈阳市沈南房屋开发有限责任公司,金宝花园二期,,21,2006-06-30 00:00:00.0,29826000,
,,1990-01-01 00:00:00.0,,于洪区,,,,,,沈阳鼎业房地产开发有限公司,金鼎阳光苑,,,,,
,,,,沈北新区,,,,,,沈阳军辉房地产开发有限公司,瀚博.皇家御院二期,,,,,
,,1990-01-01 00:00:00.0,,苏家屯区,,,,,,沈阳市苏家屯区房屋土地开发有限公司,玫瑰街50-1号,,,,,
,,1990-01-01 00:00:00.0,,东陵区,,,,,,辽宁佳业地产开发有限公司,唯美麓景田园,,,,,
,,1990-01-01 00:00:00.0,,皇姑区,,,,,,沈阳神州房地产开发有限公司,静品雅居,,,,,
,,1990-01-01 00:00:00.0,,铁西区,,,,,,沈阳麟承房地产开发有限公司,西秀城,,,,,
,,1990-01-01 00:00:00.0,,东陵区,,,,,,沈阳步阳金钻置业有限公司,步阳大厦,,,,,
,,1990-01-01 00:00:00.0,,皇姑区,,,,,,沈阳明朗置业发展有限公司,黎明昆山苑,,,,,
,,1990-01-01 00:00:00.0,,东陵区,,,,,,辽宁香格蔚蓝房地产开发有限公司,香格蔚蓝E区,,,,,
,,1990-01-01 00:00:00.0,,浑南新区,,,,,,沈阳曙光房地产开发有限公司,曙光大厦,,,,,
,,1990-01-01 00:00:00.0,,东陵区南塔街道后桑林子村,,,,,,沈阳凯维莱置业有限公司,居住、商业（二期）,,34,2010-07-01 00:00:00.0,,
,,1990-01-01 00:00:00.0,,浑南新区,,,,,,沈阳坤泰房地产开发有限公司,二期一号楼,,,,,
,,1990-01-01 00:00:00.0,,铁西区,,,,,,沈阳新宏久房屋开发有限公司,惠和经典,,,,,
,,1990-01-01 00:00:00.0,,,,,,,,金地集团（沈阳）房地产置业有限公司,“金地国际花园”住宅小区三期,,,,,
,,1990-01-01 00:00:00.0,,铁西区,,,,,,沈阳世海铭尊房地产开发有限公司,紫芳苑,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳澳海房地产开发有限公司,澳海.西湖印象,,,,,
,,,,于洪区,,,,,,沈阳中海新海汇置业有限公司,中海城,,,,,
,,,,铁西区,,,,,,沈阳志城房地产开发有限公司,双百园住宅,,,,,
,8000.0,2006-07-14 00:00:00.0,,皇姑区昆山中路13号,,,,,4150.0,沈阳三木房地产开发有限公司,居住、商业,0,1,2007-02-09 00:00:00.0,62233111,
,6000.0,2006-07-15 00:00:00.0,,和平区南五经街东侧十三纬路南侧,,,,,,沈阳格林豪森房地产开发有限公司,商业、办公综合楼,,2,2007-01-01 00:00:00.0,,
,10000.0,2006-07-15 00:00:00.0,,皇姑区黄河大街西（部分用地）,,,,,3800.0,辽宁省省直房地产开发总公司,住宅、公建,0,4,2006-12-31 00:00:00.0,86261888,
,4500.0,2006-07-16 00:00:00.0,,东陵区望花中街东,,,,,2900.0,沈阳世豪房地产开发有限公司,居住、商业（金水佳缘）,0,7,2006-12-31 00:00:00.0,88262777/88262999,
,,1990-01-01 00:00:00.0,,浑南新区古城子供销社地块,,,,,,沈阳市恒达房屋开发有限公司,住宅,,,2006-12-30 00:00:00.0,,
,5000.0,2006-07-18 00:00:00.0,,于洪区柳条湖街,,,,,3000.0,辽宁迈达房地产开发有限公司,居住组团二期工程,,3,2006-10-01 00:00:00.0,86601111,
,6200.0,2006-07-18 00:00:00.0,,沈河区府前巷北,,,,,,辽宁汇宝国际投资集团有限公司,汇宝国际大厦,0,1,2008-01-31 00:00:00.0,22740552,
,6000.0,2006-07-18 00:00:00.0,,于洪区昆山西路南侧,,,,,2800.0,辽宁迈达房地产开发有限公司,居住（绿园雅舍）,0,2,2006-10-01 00:00:00.0,86601111,
,3600.0,2006-07-18 00:00:00.0,,沈阳辉山农业高新区冯道社区,,,,,,沈阳创新房屋开发有限公司,2#档口、3#档口、4#档口,0,3,2006-10-30 00:00:00.0,88086577,
,,2006-07-18 00:00:00.0,,和平区小桥巷西侧,,,,,4250.0,辽宁容川房地产发展有限公司,居住（丽阳馨苑）,0,4,2007-06-30 00:00:00.0,23896888,
,5200.0,2006-07-18 00:00:00.0,,铁西区艳欣街52号,,,,,3100.0,辽宁丰大房屋开发有限公司,艳粉新城,0,16,2007-12-31 00:00:00.0,62389999,
,,2006-07-19 15:11:23.0,,浑南新区产业东区04号-1地块,,,,,,辽宁之星汽车维修服务有限公司,辽宁之星汽车维修服务有限公司,0,1,,31035766-8006,
,4500.0,2006-07-20 00:00:00.0,,新城子区杭州路南、金星街西,,,,,1900.0,辽宁海天房地产开发有限公司,居住．商业,,6,2008-12-31 00:00:00.0,89613336,
,5000.0,2006-07-20 00:00:00.0,,铁西区红粉路1号,,,,,3700.0,辽宁宝立房产开发有限责任公司,云华园小区二期,0,6,2007-08-31 00:00:00.0,25966111\25936111,
,,2006-07-21 09:53:02.0,,浑南新区产业东区16号-1地块,,,,,,沈阳先进制造技术产业发展有限责任公司,办公楼及厂房,0,2,,23826033,
,,2006-07-25 15:04:31.0,,苏家屯区红菱镇北红村,,,,,,沈阳沈水机械设备有限公司,沈水公司新建厂房,0,4,,13940307586,
,2800.0,2006-07-26 00:00:00.0,,苏家屯陈相镇凤山路3号,,,,,1350.0,辽宁博达房地产开发有限责任公司,商住楼,,1,2006-09-30 00:00:00.0,13889278515,
,7980.0,2006-07-26 00:00:00.0,,铁西区小六路21号,,,,,3680.0,沈阳市鹏程房屋开发有限公司,阳光苑,0,1,2006-11-30 00:00:00.0,88612345,
,,2006-07-27 14:43:15.0,,经济技术开发区四号街1号,,,,,,中富（沈阳）实业有限公司,8#生产厂房,0,1,,13898816291,
,,2006-07-28 00:00:00.0,,沈阳辉山农业高新技术开发区达莲社区,,,,,3000.0,沈阳天阔华城房地产开发有限公司,2#-19#住宅(花园一号),0,18,2007-07-30 00:00:00.0,86114668,
,,2006-07-28 13:27:41.0,,沈阳农高新三洼社区,,,,,,沈阳格林制药有限公司,办公化验楼、固体制剂车间、动物房、门卫,0,4,,13998196696,
,,2006-08-01 00:00:00.0,,沈阳浑南新区E42号-3地块,,,,,3800.0,辽宁华峰房地产开发有限公司,住宅楼（富都丽景）,0,18,2006-12-31 00:00:00.0,88681666、88685999,
,,2006-08-01 00:00:00.0,,经济技术开发区2号街3号,,,,,,沈阳滑翔机制造厂,主厂房、多种经营厂房、综合楼AB座、车间、钢材库、维修车间,0,11,,13840217197,
,,2006-08-02 00:00:00.0,,大东区东北大马路337号,,,,,,辽宁鼎泰房地产发展有限公司,居住,0,1,2006-10-08 00:00:00.0,88204558-3232,
,,2006-08-02 09:37:17.0,,沈阳道义开发区正义四路六号,,,,,,沈阳东泰新热源发展有限责任公司,沈阳道义开发区集中供热工程,0,8,,81151041,
,,2006-08-02 11:08:39.0,,沈阳经济技术开发区14号街,,,,,,沈阳化工学院,学生公寓、综合楼、水泵房,0,5,,81089898,
,,2006-08-05 00:00:00.0,,新城子区道义街京沈北街126号,,,,,1950.0,沈阳瀚博房地产开发有限公司,道义新城一期,0,15,2007-09-01 00:00:00.0,89738888、89739888,
,,2006-08-07 09:08:36.0,,沈河区北站东二路18号,,,,,,沈阳新北热电有限责任公司,三期扩建工程-主厂房,0,1,,13504983311,
,7000.0,2006-08-08 00:00:00.0,,沈阳市铁西区保工北街68号,,,,,3700.0,沈阳弘景房屋开发有限公司,弘景花园,0,6,2007-10-30 00:00:00.0,25645888,
,,2006-08-08 10:14:21.0,,大东区沈铁路西侧（5#地块2期）,,,,,,沈阳祥桦房地产开发有限公司,居住、商业（新华壹品）,0,4,,13840487752,
,,1990-01-01 00:00:00.0,,沈阳经济技术开发区,,,,,,辽宁益格豪尔房地产开发有限公司,益格名邸,,,,,
,,,,浑南新区,,,,,,沈阳中安房地产开发有限公司,爱家郦都,,,,,
,,,,铁西区,,,,,,华润置地（沈阳）有限公司,凯旋花园（一期B1区）,,,,,
,,1990-01-01 00:00:00.0,,开发区七号街,,,,,,沈阳巨臣房屋开发有限公司,友谊城三期住宅小区工程,,7,,,
,,,,和平区,,,,,,沈阳九洲福尔房地产开发有限公司,九洲湾景汇（一期）,,,,,
,,1990-01-01 00:00:00.0,,,,,,,,沈阳市铁西区城建开发有限责任公司,伟业路公建,,,,,
,,1990-01-01 00:00:00.0,,沈阳市于洪区鸭绿江北街东,,,,,,沈阳居易大道置业有限公司,居住、商业,,22,2010-05-31 00:00:00.0,,
,,,,铁西区,,,,,,沈阳新湖房地产开发有限公司,新湖.北国之春五期C区,,,,,
,,,,大东区,,,,,,金典王氏房地产开发(沈阳)有限公司,住宅、商业（二期2）,,,,,
,,,,于洪区,,,,,,沈阳广信房地产开发有限公司,五彩上筑,,,,,
,,,,大东区,,,,,,沈阳大鲜置业有限公司,TESCO沈阳北海,,,,,
,,,,沈北新区,,,,,,辽宁荣信房地产开发有限公司,人和万象商场,,,,,
,,,,大东区,,,,,,沈阳东方宏利房地产有限公司,东方。欧博城一期-6,,,,,
,,,,沈北新区,,,,,,沈阳翔凤房地产(集团)有限公司,翔凤园,,,,,
,,,,和平区,,,,,,沈阳享御房产开发有限公司,住宅、商业（一期）,,,,,
,,,,沈阳经济技术开发区,,,,,,金光置业（沈阳）有限公司,丽水金阳住宅小区,,,,,
,,,,浑南新区,,,,,,沈阳金弘石房地产开发有限公司,荣兴大厦,,,,,
,,,,浑南新区,,,,,,沈阳金地长青房地产开发有限公司,沈阳金地.滨河国际社区三期一组团,,,,,
,,,,沈北新区,,,,,,沈阳友谊合和置业有限公司,人和商业街,,,,,
,,,,铁西区,,,,,,沈阳鑫丰置业房地产开发有限公司,鑫丰。御景华庭,,,,,
,,,,皇姑区,,,,,,沈阳天汇房地产开发有限公司,居住、商业,,,,,
,,,,东陵区,,,,,,沈阳泰亿房地产开发有限公司,泰安山庄（二期）,,,,,
,,2006-08-08 14:49:04.0,,苏家屯区丁香街166号,,,,,,沈阳科锐特砂轮有限责任公司,厂房、变电所,0,4,,29826666,
,,2006-08-09 00:00:00.0,,大东区老瓜堡西路,,,,,3500.0,沈阳万佳日丰房产开发有限公司,居住(日丰佳苑),0,4,2007-10-30 00:00:00.0,88310222,
,6000.0,2006-08-10 00:00:00.0,,大东区八王寺街东侧,,,,,4000.0,沈阳永嘉特尔房地产开发有限公司,尚品天城(二期),,21,2007-05-31 00:00:00.0,28513333,
,,1990-01-01 00:00:00.0,,于洪区怒江北街,,,,,,辽宁红田房屋开发有限公司,红田翠园三期工程(一期),,2,2007-03-15 00:00:00.0,86169900、86177766,
,4500.0,2006-08-11 00:00:00.0,,沈阳市和平区长白地区C4地块(长白西路南侧),,,,,3900.0,沈阳格林豪森世华房地产开发有限公司,格林生活坊一期,0,14,2007-12-31 00:00:00.0,62222555,
,,2006-08-11 00:00:00.0,,和平区长白地区1#地块（长白西路北）,,,,,,沈阳万科永达房地产开发有限公司,万科城一期三区,0,3,2008-05-01 00:00:00.0,88613355\88613366,
,6500.0,2006-08-12 00:00:00.0,,浑南新区F4号-3地块,,,,,3500.0,沈阳金路房屋开发有限公司,住宅（雍熙金园）,0,24,2007-09-30 00:00:00.0,23825555,
,,2006-08-15 00:00:00.0,,浑南新区产业区8号-1地块,,,,,,沈阳液压件制造有限公司,厂房、办公楼,0,7,,13898827374,
,5000.0,2006-08-16 00:00:00.0,,皇姑区涟水街东(部分用地),,,,,3000.0,沈阳金狮座房屋开发有限公司,居住(金盛馨园),0,2,2006-12-30 00:00:00.0,86017666,
,,2006-08-16 00:00:00.0,,于洪区黑山路,,,,,,辽宁恒泰房屋开发有限公司,居住(二期)恒泰?七彩阳光,0,25,2007-10-30 00:00:00.0,86523666,
,,2006-08-17 14:22:43.0,,大东区小什字街,,,,,,沈阳展业置地有限公司,商业、住宅（日神广场）,0,3,,13998829919,
,4000.0,2006-08-17 00:00:00.0,,苏家屯区桂花街砂柳路北,,,,,2450.0,辽宁德隆房屋开发有限公司,居住区二期工程（河畔花城）,0,110,2008-12-31 00:00:00.0,89838888,
,,2006-08-18 13:06:19.0,,铁西区北二东路17-2号,,,,,,汪红,沈阳保时捷中心(一期),0,1,,13390159000,
,4000.0,2006-08-18 00:00:00.0,,于洪区太湖街西侧,,,,,2700.0,辽宁明美丽苑房地产开发有限公司,明颂华庭,0,7,2007-06-28 00:00:00.0,25321333,
,6750.0,2006-08-18 00:00:00.0,,大东区合作街西侧,,,,,3400.0,沈阳浅草绿阁置业发展有限公司,居住、商业（浅草绿阁．水墨林溪）,0,28,2006-12-30 00:00:00.0,88332555,
,,2006-08-19 00:00:00.0,,铁西区保工北街18号,,,,,,沈阳友佳房地产开发有限公司,香域?蓝山 住宅小区,0,16,2007-07-30 00:00:00.0,25615555,
,10000.0,2006-08-20 00:00:00.0,,大东区大北关街西侧,,,,,4300.0,沈阳国瑞嘉合房屋开发有限公司,居住、商业（枫合万嘉二期）,0,4,2007-07-20 00:00:00.0,88728888,
,,2006-08-21 13:56:22.0,,东陵区富家村,,,,,,沈阳东腾物资材料有限公司,厂房,0,2,,81766516,
,,1990-01-01 00:00:00.0,,沈阳市长白地区5#地块,,,,,,沈阳市和兴房地产开发有限公司,银河湾家园,,,2007-12-31 00:00:00.0,,
,,2006-08-21 16:02:17.0,,和平区太原北街,,,,,,协和房地产(沈阳)有限公司,沈阳协和广场,0,1,2008-06-30 00:00:00.0,13324070203,
,,2006-08-21 10:14:03.0,,浑南产业区11号-1地块,,,,,,沈阳中油南科实业有限公司,加油站,0,5,,13940271837,
,,2006-08-22 09:40:03.0,,皇姑区阳山路1号,,,,,,中国航空工业第一集团公司沈阳空气动力研究所,"""11号工程”模型加工车间、进气道试验室",0,2,,13940380888,
,,2006-08-22 13:05:57.0,,浑南产业区东区39号-2地块,,,,,,沈阳市五洲化工厂,厂房及办公楼,0,1,,13940233887,
,9600.0,2006-08-22 00:00:00.0,,沈河区北京街51号,,,,,7300.0,沈阳银河房产置业有限公司,沈阳银河国际大厦,0,1,2007-12-31 00:00:00.0,22518866,
,,2006-08-23 10:39:40.0,,经济技术开发6号路10甲2号,,,,,,SEW-传动设备（沈阳）有限公司,一期厂房、办公楼、门卫房、附房,0,4,,13478330468,
,,2006-08-23 00:00:00.0,,沈阳辉山农业高新技术开发区新城路50号,,,,,3800.0,沈阳圣华天房地产开发有限公司,19#、20#、25#、26#、28#、29#住宅楼（泉涌新镇）,0,6,2008-12-31 00:00:00.0,88085222/88086222,
,,2006-08-23 14:41:11.0,,和平区青年大街390号,,,,,,沈阳皇朝万鑫房屋开发有限公司,皇朝万鑫大厦,0,3,,13504050403,
,,2006-08-26 00:00:00.0,,大东区东北大马路北侧,,,,,3200.0,沈阳辰宇房地产发展有限责任公司,住宅.商业,,15,2007-07-30 00:00:00.0,88908288、88908388,
,,2006-08-26 00:00:00.0,,大东区辽沈二街西侧,,,,,,沈阳建源房屋开发有限公司,居住、商业（如意名苑）,0,4,2007-08-31 00:00:00.0,88127788,
,,2006-08-27 00:00:00.0,,沈阳市铁西区兴工北街46号,,,,,4200.0,辽宁昱和房地产开发有限责任公司,富雅豪临,0,15,2009-06-30 00:00:00.0,,
,,,,苏家屯区,,,,,,辽宁正大房地产开发有限公司,正大.香格一品,,,,,
,,,,沈阳经济技术开发区,,,,,,辽宁威利房地产开发集团有限公司,富海弘麟,,,,,
,,,,铁西区,,,,,,沈阳彬海房地产开发有限公司,恒润御林湾二期,,,,,
,,,,于洪区,,,,,,沈阳中海新海汇置业有限公司,居住、商业（02A、02B一期）,,,,,
,,1990-01-01 00:00:00.0,,和平区,,,,,,辽宁高校后勤集团房地产开发有限公司,沈阳雅宾利花园,,,,,
,,,,沈北新区,,,,,,沈阳新水湾房地产开发有限公司,沈阳华美新天地购物广场,,,,,
,,,,沈北新区,,,,,,辽宁城开地产集团有限公司,中央大学城青年派,,,,,
,,,,东陵区,,,,,,沈阳兆隆地产开发有限公司,世茂棋盘山项目（一期）,,,,,
,,,,于洪区,,,,,,沈阳华策房产开发有限公司,华策润熙家园,,,,,
,,1990-01-01 00:00:00.0,,铁西区,,,,,,沈阳新湖房地产开发有限公司,新湖北国之春五期D区,,,,,
,,,,和平区,,,,,,沈阳格林豪森世华房地产开发有限公司,居住、商业（B区）,,,,,
,,,,沈北新区,,,,,,沈阳市北美房地产开发有限公司,北美公馆,,,,,
,,,,皇姑区,,,,,,沈阳保利溪湖房地产开发有限公司,保利溪湖林语花园（五号地块）,,,,,
,,1990-01-01 00:00:00.0,,于洪区赤山路,,,,,,辽宁宏伟鑫城房地产开发有限公司,绿地老街坊城北新苑,,,,,
,,,,铁西区,,,,,,沈阳盈科房地产开发有限公司,泰莱.香榭里（住宅）,,,,,
,,,,大东区,,,,,,沈阳鸿海房地产开发有限公司,鸿海东星花庭,,,,,
,,,,和平区,,,,,,辽宁李世房产开发有限公司,华厦酒店,,,,,
,,1990-01-01 00:00:00.0,,沈阳浑南新区C-4地块,,,,,,沈阳新洲实业股份有限公司,浦江苑住宅二期,0,6,,23665555，23665888,
,,,,和平区,,,,,,沈阳普吉房产开发有限公司,居住、商业工程二期,,,,,
,,2006-08-27 00:00:00.0,,沈阳市于洪区北陵木材市场北侧,,,,,,恒盛阳光鑫地（辽宁）置业有限公司,阳光尚城（一期工程2）,0,6,2007-06-30 00:00:00.0,,
,5200.0,2006-08-28 00:00:00.0,,皇姑区岐山西路南、峨眉山路北,,,,,3850.0,辽宁东方恒鑫房地产开发有限公司,居住（月光橙）,0,3,2006-12-30 00:00:00.0,86404666、86434666,
,4500.0,2006-09-28 00:00:00.0,,沈阳市皇姑区巴山路北侧长江街西侧（部分用地）,,,,,4300.0,辽宁中乾房地产开发有限公司,中乾商务花园,0,3,2007-10-31 00:00:00.0,,
,,2006-09-08 00:00:00.0,,沈阳辉山农业高新技术开发区新城路56号,,,,,,沈阳泰盈房产开发有限公司,23#-32#住宅(七里香堤),0,10,2007-10-31 00:00:00.0,22525466,
,3800.0,2006-09-08 00:00:00.0,,铁西区腾飞二街26号,,,,,3300.0,沈阳春江置业发展有限公司,春江花月（C小区）,,4,2006-09-08 00:00:00.0,25925333\25936222,
,5500.0,2006-09-08 00:00:00.0,,和平区砂南路南侧,,,,,3600.0,沈阳润通房屋开发有限公司,商住楼(丰泽家园),0,1,2007-01-20 00:00:00.0,23301111、2330900,
,3500.0,2006-09-08 00:00:00.0,,于洪区黄河北大街,,,,,2750.0,辽宁天柱房屋开发有限公司,居住组团（丽晶书香院）,0,5,2007-05-31 00:00:00.0,86501333、86531111,
,4200.0,2006-09-09 00:00:00.0,,大东区建新街东侧,,,,,2750.0,辽宁中地海外建设有限公司,居住、商业（中地名都）,0,12,2007-06-30 00:00:00.0,88268888,
,,2006-09-11 12:53:42.0,,大东区东顺城街73号,,,,,,沈阳市中仙食品有限公司,综合楼,0,1,,13478889008,
,,2006-09-13 15:36:59.0,,沈阳辉山农业高新技术开发区兴农路36号,,,,,,沈阳峰喜农副产品进出口有限公司,冷库恒温库、宿舍车间、收发室、1#办公楼、2#仓储库,0,5,,13998806648,
,,2006-09-13 09:20:20.0,,沈阳辉山农业高新区辉山大街148号,,,,,,辽宁真龙真空设备制造有限公司,办公楼、联合厂房、生产厂房（二）、铆焊车间,0,4,,13840027660,
,,2006-09-13 15:28:37.0,,沈阳辉山农业高新区聚农路30号,,,,,,沈阳蒲兴禽业有限公司,办公楼,0,1,,13998806648,
,,2006-09-13 13:47:22.0,,苏家屯区沙柳路北,,,,,,沈阳市苏家屯区房屋土地开发有限公司,门市,0,2,,13066633399,
,,2006-09-14 00:00:00.0,,沈阳市沈河区府前巷北,,,,,,辽宁汇宝国际投资集团有限公司,商服建筑,0,1,2006-12-26 00:00:00.0,13940050069,
,,2006-09-14 09:00:27.0,,于洪区大青乡德胜村,,,,,,沈阳化工研究院,农药安评价中心、安评中心大动物实验楼,0,2,,13504975023,
,,2006-09-15 09:16:01.0,,铁西区北一西路19巷,,,,,,沈阳市铁西区城建开发有限责任公司,北一新村,0,36,,13066767969,
,,2006-09-15 13:24:41.0,,农业高新区辉山大街,,,,,,沈阳香雪面粉股份有限公司,饮品、面粉仓库、浴池、门卫车库、编织袋车间,0,4,,13019378822,
